ID,loan_amnt,loan_term,interest_rate,loan_grade,loan_subgrade,job_experience,home_ownership,annual_income,income_verification_status,loan_purpose,state_code,debt_to_income,delinq_2yrs,public_records,revolving_balance,total_acc,interest_receive,application_type,last_week_pay,total_current_balance,total_revolving_limit,default
6808038,26500,3 years,10.16,B,B1,10+ years,MORTGAGE,59000.0,Verified,debt_consolidation,AZ,10.96,0.0,0.0,19141,16.0,4246.0,INDIVIDUAL,135.0,19141.0,30800.0,0
44183703,8050,3 years,17.57,D,D4,<5 Years,RENT,51000.0,Verified,debt_consolidation,CA,14.42,0.0,0.0,8802,32.0,983.27,INDIVIDUAL,39.0,36097.0,26900.0,0
9402540,5000,3 years,11.99,B,B3,<5 Years,MORTGAGE,35000.0,Source Verified,debt_consolidation,MO,22.05,1.0,0.0,16638,32.0,762.41,INDIVIDUAL,100.0,130126.0,40000.0,1
4852979,18925,5 years,15.31,C,C2,10+ years,RENT,54078.0,Verified,debt_consolidation,OK,16.82,0.0,0.0,34319,26.0,6393.67,INDIVIDUAL,144.0,34319.0,52064.0,0
12448924,20500,3 years,13.98,C,C1,10+ years,RENT,53000.0,Verified,debt_consolidation,IL,18.95,0.0,0.0,22919,62.0,2145.4,INDIVIDUAL,48.0,150846.0,32900.0,1
55376392,1500,3 years,12.69,C,C2,<5 Years,RENT,36000.0,Not Verified,debt_consolidation,MN,16.9,3.0,0.0,1654,33.0,45.43,INDIVIDUAL,13.0,66234.0,4800.0,0
40841038,7000,3 years,8.19,A,A5,10+ years,RENT,58000.0,Source Verified,debt_consolidation,WY,18.81,0.0,1.0,5699,26.0,487.57,INDIVIDUAL,52.0,67742.0,9900.0,0
66434026,15200,5 years,12.69,C,C2,10+ years,RENT,109116.0,Not Verified,debt_consolidation,CA,21.1,0.0,0.0,28316,25.0,471.05,INDIVIDUAL,13.0,128536.0,42900.0,0
64576795,7000,3 years,7.89,A,A5,10+ years,MORTGAGE,47000.0,Verified,debt_consolidation,CA,18.74,0.0,0.0,5006,34.0,174.18,INDIVIDUAL,17.0,24701.0,25600.0,0
68740634,13675,3 years,13.18,C,C3,10+ years,RENT,36000.0,Verified,credit_card,HI,28.7,0.0,0.0,13835,15.0,276.94,INDIVIDUAL,9.0,16940.0,16200.0,0
42446067,9800,3 years,10.49,B,B3,10+ years,MORTGAGE,60000.0,Not Verified,home_improvement,NY,2.26,0.0,0.0,2747,20.0,816.01,INDIVIDUAL,48.0,32143.0,9200.0,0
66523323,16000,3 years,13.33,C,C3,10+ years,RENT,82000.0,Verified,debt_consolidation,NY,25.71,0.0,0.0,17340,19.0,509.18,INDIVIDUAL,13.0,47710.0,17800.0,0
49791928,12000,3 years,6.68,A,A3,<5 Years,MORTGAGE,93000.0,Not Verified,credit_card,MI,8.61,0.0,0.0,15178,38.0,482.35,INDIVIDUAL,39.0,242890.0,39500.0,0
26056131,28000,5 years,10.99,B,B3,10+ years,OWN,85000.0,Source Verified,credit_card,CO,11.39,0.0,0.0,46031,35.0,3899.92,INDIVIDUAL,74.0,244950.0,72200.0,0
27229153,8000,3 years,11.67,B,B4,<5 Years,RENT,85000.0,Not Verified,debt_consolidation,NY,9.01,1.0,0.0,13077,20.0,1063.3,INDIVIDUAL,74.0,31588.0,18400.0,0
19185286,10100,5 years,16.99,D,D3,<5 Years,RENT,29000.0,Verified,home_improvement,MS,16.18,0.0,1.0,4594,17.0,2321.48,INDIVIDUAL,78.0,9613.0,10100.0,0
14939150,3200,3 years,6.03,A,A1,10+ years,RENT,60000.0,Not Verified,debt_consolidation,IL,15.56,0.0,0.0,804,41.0,249.07,INDIVIDUAL,91.0,22422.0,15700.0,0
772745,10000,3 years,9.99,B,B4,10+ years,MORTGAGE,125000.0,Not Verified,debt_consolidation,NJ,15.59,1.0,0.0,2061,18.0,1601.95,INDIVIDUAL,152.0,,,1
29743138,13200,5 years,19.52,E,E2,6-10 years,RENT,40000.0,Verified,debt_consolidation,CA,28.17,0.0,0.0,3207,13.0,427.3,INDIVIDUAL,9.0,70833.0,9100.0,0
1467604,10000,3 years,13.11,B,B4,10+ years,MORTGAGE,116943.0,Source Verified,other,CA,19.91,0.0,0.0,41692,42.0,2145.37,INDIVIDUAL,156.0,,,1
7419307,10000,3 years,12.35,B,B4,6-10 years,OWN,34000.0,Not Verified,debt_consolidation,WA,18.92,0.0,0.0,8900,23.0,1622.73,INDIVIDUAL,87.0,17559.0,28900.0,1
55476734,16000,3 years,12.29,C,C1,6-10 years,RENT,100000.0,Source Verified,debt_consolidation,NY,17.26,0.0,0.0,14444,47.0,909.1,INDIVIDUAL,31.0,31627.0,43600.0,0
71346073,35000,3 years,9.17,B,B2,10+ years,RENT,170000.0,Source Verified,debt_consolidation,CA,22.61,0.0,0.0,48268,38.0,338.78,INDIVIDUAL,4.0,159464.0,66100.0,0
60887097,28000,3 years,5.32,A,A1,<5 Years,MORTGAGE,100000.0,Not Verified,debt_consolidation,UT,19.51,0.0,0.0,20118,54.0,510.45,INDIVIDUAL,22.0,442695.0,102800.0,0
10547387,12000,5 years,23.4,E,E5,<5 Years,MORTGAGE,60000.0,Source Verified,debt_consolidation,NY,17.44,0.0,0.0,3530,17.0,1592.41,INDIVIDUAL,30.0,144809.0,6900.0,1
64695978,30000,5 years,17.86,D,D5,<5 Years,MORTGAGE,84000.0,Source Verified,credit_card,NJ,22.77,2.0,0.0,23272,26.0,1728.0,INDIVIDUAL,17.0,367514.0,34500.0,0
54776182,11275,5 years,25.78,F,F5,<5 Years,OWN,46000.0,Verified,debt_consolidation,CA,7.93,0.0,1.0,8099,41.0,1635.51,INDIVIDUAL,31.0,286290.0,22600.0,0
14787622,20000,3 years,12.49,B,B4,,RENT,108000.0,Verified,debt_consolidation,LA,14.72,0.0,0.0,6198,18.0,3390.89,INDIVIDUAL,96.0,19327.0,7000.0,0
21899919,24000,5 years,12.99,C,C1,<5 Years,MORTGAGE,68000.0,Source Verified,credit_card,VA,19.64,0.0,0.0,30876,23.0,4173.95,INDIVIDUAL,78.0,272417.0,36500.0,0
67519212,19000,3 years,18.25,E,E1,<5 Years,RENT,38000.0,Verified,other,CA,10.74,0.0,0.0,11457,8.0,552.57,INDIVIDUAL,9.0,11457.0,30200.0,0
5010818,20000,3 years,6.62,A,A2,<5 Years,MORTGAGE,150000.0,Verified,debt_consolidation,TX,7.35,1.0,0.0,10675,22.0,1610.94,INDIVIDUAL,91.0,191821.0,51500.0,1
41383343,8700,3 years,17.86,D,D5,<5 Years,MORTGAGE,78000.0,Source Verified,debt_consolidation,CA,10.4,2.0,1.0,1610,15.0,1346.09,INDIVIDUAL,52.0,367462.0,2500.0,0
1695062,2800,3 years,7.9,A,A4,,RENT,10068.0,Verified,other,NM,31.23,0.0,0.0,7502,15.0,36.32,INDIVIDUAL,9.0,,,0
15088235,26000,5 years,14.64,C,C3,<5 Years,MORTGAGE,64000.0,Source Verified,credit_card,TX,13.09,0.0,0.0,31346,20.0,5839.68,INDIVIDUAL,91.0,113127.0,40400.0,0
32558094,18000,3 years,14.49,C,C4,<5 Years,OWN,80000.0,Not Verified,home_improvement,CA,15.66,0.0,0.0,16502,11.0,2708.23,INDIVIDUAL,65.0,35511.0,29900.0,0
1877206,10000,5 years,18.75,D,D3,<5 Years,RENT,100000.0,Verified,debt_consolidation,CA,12.46,0.0,0.0,16140,15.0,4610.93,INDIVIDUAL,170.0,34774.0,20800.0,0
68056960,5600,3 years,12.05,C,C1,6-10 years,RENT,32000.0,Source Verified,other,IL,7.5,0.0,0.0,6018,13.0,107.41,INDIVIDUAL,9.0,6018.0,26000.0,0
58750441,2400,3 years,19.99,E,E4,<5 Years,MORTGAGE,34791.0,Verified,other,KY,25.54,0.0,0.0,4892,40.0,152.28,INDIVIDUAL,18.0,252482.0,72900.0,0
68088131,35000,3 years,7.26,A,A4,10+ years,MORTGAGE,160000.0,Source Verified,debt_consolidation,MA,15.06,0.0,0.0,5161,29.0,424.74,INDIVIDUAL,9.0,312456.0,100800.0,0
64956199,16000,5 years,13.99,C,C4,<5 Years,MORTGAGE,60000.0,Source Verified,debt_consolidation,FL,29.66,0.0,0.0,18156,67.0,528.21,INDIVIDUAL,13.0,174743.0,25600.0,0
22952275,12500,3 years,14.99,C,C5,10+ years,MORTGAGE,42500.0,Not Verified,debt_consolidation,WA,22.08,0.0,0.0,8002,13.0,2244.0,INDIVIDUAL,78.0,27137.0,9900.0,0
22942177,11000,3 years,10.99,B,B3,10+ years,MORTGAGE,140000.0,Not Verified,debt_consolidation,CA,12.05,1.0,0.0,4368,15.0,1431.58,INDIVIDUAL,78.0,407801.0,8300.0,0
14937757,5400,3 years,11.67,B,B4,<5 Years,MORTGAGE,78000.0,Source Verified,other,OR,2.25,0.0,1.0,3180,23.0,556.5,INDIVIDUAL,52.0,257459.0,7400.0,1
41310178,12950,5 years,19.99,E,E3,6-10 years,RENT,45000.0,Source Verified,debt_consolidation,PA,22.35,0.0,0.0,12486,17.0,2267.13,INDIVIDUAL,52.0,32465.0,15900.0,0
1259931,16000,3 years,11.71,B,B3,10+ years,MORTGAGE,88000.0,Verified,other,TX,19.95,0.0,0.0,12075,56.0,2774.27,INDIVIDUAL,118.0,,,1
71025050,16000,5 years,23.99,F,F3,10+ years,RENT,72500.0,Source Verified,credit_card,WI,26.82,0.0,0.0,12148,21.0,298.55,INDIVIDUAL,4.0,40128.0,18900.0,0
59012370,11000,3 years,8.18,B,B1,<5 Years,RENT,50000.0,Not Verified,debt_consolidation,TX,26.6,0.0,0.0,24380,20.0,351.34,INDIVIDUAL,22.0,76845.0,38000.0,0
45830969,12950,3 years,12.29,C,C1,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,OH,25.33,0.0,0.0,23420,57.0,1182.01,INDIVIDUAL,44.0,438714.0,45400.0,0
58723028,7200,3 years,5.32,A,A1,<5 Years,RENT,70000.0,Source Verified,credit_card,NY,25.47,3.0,0.0,5926,38.0,174.89,INDIVIDUAL,26.0,68134.0,17900.0,0
59701680,4800,3 years,15.61,D,D1,<5 Years,RENT,25000.0,Source Verified,debt_consolidation,PA,21.94,0.0,0.0,4654,15.0,294.15,INDIVIDUAL,22.0,29295.0,7300.0,0
69718076,7000,3 years,8.18,B,B1,6-10 years,MORTGAGE,60000.0,Verified,debt_consolidation,FL,20.82,1.0,0.0,51688,21.0,91.08,INDIVIDUAL,9.0,137857.0,53140.0,0
39222788,10850,3 years,17.14,D,D4,,MORTGAGE,40000.0,Verified,debt_consolidation,OH,29.91,0.0,0.0,15162,20.0,974.8,INDIVIDUAL,30.0,189843.0,53300.0,1
70468548,20000,3 years,8.18,B,B1,<5 Years,RENT,165000.0,Verified,debt_consolidation,CO,7.83,0.0,1.0,11785,13.0,127.24,INDIVIDUAL,4.0,46346.0,21500.0,0
72399558,10000,3 years,5.32,A,A1,6-10 years,MORTGAGE,118000.0,Not Verified,other,CA,12.54,0.0,0.0,16148,37.0,0.0,INDIVIDUAL,,452972.0,140000.0,0
65812098,4000,3 years,15.61,D,D1,<5 Years,MORTGAGE,25000.0,Verified,other,TX,10.47,0.0,0.0,3087,10.0,143.99,INDIVIDUAL,13.0,92038.0,12800.0,0
12478541,8500,3 years,7.9,A,A4,<5 Years,MORTGAGE,50000.0,Not Verified,credit_card,PA,16.75,0.0,0.0,10762,29.0,855.53,INDIVIDUAL,87.0,34764.0,25800.0,1
51240046,12000,5 years,25.89,G,G3,<5 Years,RENT,40000.0,Source Verified,debt_consolidation,OR,19.5,0.0,0.0,19917,30.0,1764.6,INDIVIDUAL,31.0,81135.0,26100.0,0
56439611,19500,3 years,6.24,A,A2,10+ years,OWN,140000.0,Not Verified,credit_card,NC,10.0,0.0,0.0,44286,21.0,641.87,INDIVIDUAL,31.0,329764.0,70000.0,0
12997344,13000,3 years,12.85,B,B4,10+ years,MORTGAGE,50000.0,Source Verified,credit_card,TX,25.52,1.0,1.0,18288,26.0,2330.9,INDIVIDUAL,104.0,30397.0,33200.0,0
66782994,5975,3 years,15.61,D,D1,,OWN,18700.0,Verified,credit_card,NY,25.93,0.0,1.0,10488,24.0,166.7,INDIVIDUAL,13.0,65257.0,14100.0,0
66322679,6000,3 years,13.33,C,C3,6-10 years,RENT,60000.0,Verified,debt_consolidation,MI,26.98,0.0,0.0,31045,25.0,122.89,INDIVIDUAL,9.0,45662.0,46400.0,0
43945103,15000,5 years,18.25,E,E1,<5 Years,MORTGAGE,65000.0,Verified,debt_consolidation,OH,21.72,0.0,0.0,4914,23.0,416.11,INDIVIDUAL,4.0,160041.0,29100.0,1
755113,8000,3 years,15.58,D,D3,<5 Years,OWN,38400.0,Verified,other,PA,18.38,0.0,0.0,0,11.0,1705.38,INDIVIDUAL,96.0,,,0
29382889,20000,5 years,10.99,B,B3,10+ years,MORTGAGE,70000.0,Source Verified,debt_consolidation,DE,22.79,2.0,0.0,11630,52.0,2346.78,INDIVIDUAL,61.0,243795.0,55700.0,0
41418930,25000,5 years,11.44,B,B4,6-10 years,MORTGAGE,180000.0,Source Verified,credit_card,LA,8.05,0.0,0.0,9906,27.0,2642.25,INDIVIDUAL,52.0,267869.0,19400.0,0
13670378,23125,3 years,13.65,C,C1,10+ years,RENT,65000.0,Source Verified,debt_consolidation,MA,18.21,0.0,0.0,20114,26.0,3720.62,INDIVIDUAL,78.0,20244.0,37700.0,1
52661859,5000,3 years,14.65,C,C5,<5 Years,MORTGAGE,58100.0,Not Verified,debt_consolidation,MN,34.83,0.0,0.0,17590,26.0,445.23,INDIVIDUAL,35.0,222390.0,19200.0,0
43378185,14100,3 years,19.24,E,E2,,MORTGAGE,50000.0,Verified,home_improvement,DC,15.29,0.0,0.0,23384,27.0,1825.63,INDIVIDUAL,35.0,355189.0,24700.0,1
25745998,15000,3 years,12.49,B,B5,<5 Years,MORTGAGE,91000.0,Not Verified,credit_card,CA,13.18,1.0,0.0,30060,17.0,2138.48,INDIVIDUAL,74.0,367946.0,34100.0,0
71251441,18600,5 years,22.99,F,F2,6-10 years,MORTGAGE,53000.0,Verified,debt_consolidation,GA,33.61,6.0,0.0,6257,30.0,332.59,INDIVIDUAL,4.0,242148.0,6700.0,0
68308850,15125,5 years,15.41,D,D1,6-10 years,MORTGAGE,80000.0,Verified,debt_consolidation,LA,21.36,1.0,0.0,3063,34.0,373.34,INDIVIDUAL,9.0,218011.0,4500.0,0
1366651,14000,3 years,8.9,A,A5,<5 Years,RENT,70000.0,Source Verified,credit_card,NC,5.86,0.0,0.0,16601,17.0,1981.96,INDIVIDUAL,143.0,,,1
67741302,15000,5 years,9.17,B,B2,<5 Years,RENT,55000.0,Not Verified,credit_card,NJ,18.25,0.0,0.0,10499,15.0,212.46,INDIVIDUAL,9.0,35270.0,16700.0,0
52515850,8000,3 years,7.89,A,A5,6-10 years,OWN,35000.0,Source Verified,debt_consolidation,WV,16.15,0.0,1.0,13409,37.0,380.41,INDIVIDUAL,35.0,17394.0,54600.0,0
45251144,12000,3 years,8.18,B,B1,10+ years,MORTGAGE,120000.0,Source Verified,debt_consolidation,NC,14.98,0.0,0.0,18239,35.0,718.81,INDIVIDUAL,44.0,301942.0,18500.0,0
40976630,12000,3 years,8.67,B,B1,10+ years,RENT,39000.0,Verified,credit_card,PA,10.31,0.0,0.0,12383,7.0,891.45,INDIVIDUAL,52.0,12383.0,12600.0,0
54806086,18000,5 years,8.18,B,B1,10+ years,RENT,42000.0,Source Verified,debt_consolidation,PA,19.89,0.0,0.0,18782,15.0,815.42,INDIVIDUAL,31.0,23718.0,35200.0,0
64243136,7000,3 years,9.99,B,B3,10+ years,RENT,65000.0,Not Verified,credit_card,VA,19.26,0.0,1.0,3236,38.0,195.89,INDIVIDUAL,17.0,15801.0,8200.0,0
5471142,7000,3 years,11.99,B,B3,<5 Years,RENT,95000.0,Source Verified,credit_card,CA,6.51,7.0,0.0,708,24.0,134.65,INDIVIDUAL,17.0,14880.0,8500.0,1
1368412,15000,3 years,17.27,D,D3,<5 Years,RENT,80000.0,Verified,credit_card,CA,17.61,1.0,0.0,17591,19.0,2987.55,INDIVIDUAL,74.0,,,1
58973008,10000,3 years,16.55,D,D2,10+ years,RENT,42000.0,Source Verified,debt_consolidation,SC,37.14,1.0,1.0,6140,19.0,772.71,INDIVIDUAL,26.0,73705.0,7900.0,0
59573388,8500,3 years,9.99,B,B3,<5 Years,RENT,32000.0,Not Verified,debt_consolidation,FL,33.27,0.0,0.0,8456,25.0,365.03,INDIVIDUAL,22.0,34566.0,34600.0,0
55946258,17000,5 years,12.69,C,C2,<5 Years,OWN,38000.0,Source Verified,credit_card,MI,35.28,0.0,0.0,17161,34.0,1081.16,INDIVIDUAL,26.0,74895.0,22800.0,0
1264798,7500,3 years,8.9,A,A5,<5 Years,MORTGAGE,75000.0,Source Verified,other,FL,7.49,0.0,0.0,4743,17.0,1071.88,INDIVIDUAL,161.0,,,1
8072711,4000,3 years,13.68,C,C1,<5 Years,RENT,70000.0,Not Verified,other,NJ,19.17,0.0,0.0,16310,15.0,857.19,INDIVIDUAL,126.0,36151.0,55700.0,0
939315,1000,3 years,10.99,B,B3,10+ years,MORTGAGE,37000.0,Not Verified,other,CO,23.06,0.0,0.0,12146,18.0,177.47,INDIVIDUAL,161.0,,,1
15839779,7125,3 years,14.16,C,C2,6-10 years,RENT,20000.0,Source Verified,other,GA,5.04,0.0,1.0,1685,15.0,1323.92,INDIVIDUAL,87.0,2579.0,10400.0,1
53877517,15600,5 years,18.25,E,E1,10+ years,MORTGAGE,51000.0,Verified,debt_consolidation,NY,28.71,0.0,0.0,13093,35.0,1692.86,INDIVIDUAL,31.0,110741.0,19200.0,0
1630960,2700,3 years,17.27,C,C5,10+ years,MORTGAGE,70000.0,Not Verified,home_improvement,PA,9.09,0.0,0.0,5862,35.0,776.96,INDIVIDUAL,156.0,,,1
1076505,4800,3 years,11.99,B,B5,<5 Years,MORTGAGE,96000.0,Not Verified,other,MD,12.05,1.0,0.0,26362,26.0,938.35,INDIVIDUAL,161.0,,,1
10431833,11050,3 years,9.67,B,B1,6-10 years,MORTGAGE,45000.0,Verified,debt_consolidation,NC,21.47,3.0,0.0,11243,20.0,722.82,INDIVIDUAL,39.0,21458.0,15300.0,1
43885327,5375,3 years,16.55,D,D2,<5 Years,MORTGAGE,25000.0,Source Verified,debt_consolidation,TX,13.15,0.0,0.0,4468,21.0,718.51,INDIVIDUAL,48.0,80844.0,9100.0,0
38831470,14975,5 years,20.99,E,E4,10+ years,OWN,62000.0,Verified,debt_consolidation,MN,30.37,0.0,0.0,26020,22.0,1266.76,INDIVIDUAL,22.0,55621.0,43400.0,0
66512162,24800,5 years,13.33,C,C3,<5 Years,MORTGAGE,79000.0,Verified,debt_consolidation,VA,26.22,0.0,0.0,31684,22.0,529.35,INDIVIDUAL,9.0,297265.0,38600.0,0
59739031,20000,5 years,11.53,B,B5,10+ years,MORTGAGE,130000.0,Not Verified,debt_consolidation,MN,17.32,5.0,0.0,17151,30.0,923.97,INDIVIDUAL,26.0,732367.0,25500.0,0
917618,12000,5 years,13.43,C,C3,,MORTGAGE,52360.0,Not Verified,other,GA,15.77,0.0,0.0,27500,21.0,526.98,INDIVIDUAL,17.0,,,1
10763099,7000,3 years,17.1,C,C5,,MORTGAGE,55000.0,Source Verified,debt_consolidation,MI,14.95,0.0,0.0,3933,14.0,1751.08,INDIVIDUAL,109.0,26178.0,6800.0,1
45280909,9225,3 years,24.99,F,F4,<5 Years,RENT,62000.0,Source Verified,other,CA,23.78,0.0,1.0,3474,32.0,359.44,INDIVIDUAL,13.0,55219.0,5900.0,1
57115700,3500,3 years,18.55,E,E2,10+ years,OWN,105000.0,Not Verified,other,FL,11.34,7.0,1.0,15347,40.0,300.04,INDIVIDUAL,26.0,22876.0,23130.0,0
65600823,5600,3 years,12.29,C,C1,<5 Years,RENT,45500.0,Source Verified,other,IL,13.72,2.0,0.0,88,15.0,164.25,INDIVIDUAL,13.0,65911.0,2500.0,0
70227944,18650,3 years,10.64,B,B4,<5 Years,MORTGAGE,110000.0,Not Verified,debt_consolidation,NY,28.39,0.0,0.0,36793,34.0,110.24,INDIVIDUAL,0.0,466163.0,76100.0,0
45240763,6000,3 years,9.99,B,B3,,RENT,20000.0,Source Verified,other,NJ,8.76,0.0,2.0,2874,8.0,441.15,INDIVIDUAL,44.0,2874.0,13800.0,0
5818940,12000,5 years,19.72,D,D5,10+ years,MORTGAGE,65000.0,Verified,debt_consolidation,TN,4.87,0.0,1.0,4107,19.0,3974.05,INDIVIDUAL,100.0,188701.0,7400.0,0
9859496,15000,3 years,9.99,B,B1,10+ years,MORTGAGE,65000.0,Source Verified,debt_consolidation,VA,9.38,0.0,0.0,10032,23.0,1203.65,INDIVIDUAL,48.0,335535.0,10500.0,1
614511,25000,3 years,15.7,D,D4,10+ years,MORTGAGE,99500.0,Verified,debt_consolidation,GA,9.68,0.0,0.0,19466,20.0,6501.81,INDIVIDUAL,157.0,,,1
8550886,7875,3 years,17.1,C,C5,6-10 years,MORTGAGE,80000.0,Source Verified,debt_consolidation,CA,24.39,2.0,0.0,6775,31.0,1954.39,INDIVIDUAL,104.0,488677.0,11900.0,1
12034151,6000,3 years,11.99,B,B3,<5 Years,MORTGAGE,56000.0,Not Verified,credit_card,SC,20.34,0.0,1.0,8980,27.0,1024.93,INDIVIDUAL,104.0,91892.0,22500.0,0
54545506,14000,3 years,10.99,B,B4,<5 Years,RENT,120000.0,Not Verified,debt_consolidation,OH,32.69,0.0,0.0,26474,43.0,815.96,INDIVIDUAL,31.0,149978.0,42500.0,0
59800845,12000,3 years,11.53,B,B5,<5 Years,MORTGAGE,70000.0,Source Verified,debt_consolidation,NY,12.09,0.0,0.0,11976,22.0,541.59,INDIVIDUAL,26.0,115430.0,22800.0,0
7432365,12000,5 years,22.2,E,E4,<5 Years,RENT,50000.0,Verified,debt_consolidation,NC,16.56,0.0,0.0,18141,12.0,4948.01,INDIVIDUAL,109.0,26629.0,20346.0,1
