Alcohol,Malic_Acid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280/OD315_of_Diluted_Wines,Proline,Target
13.45,1.85,2.6,16.8,110,2.65,2.6,0.27,1.7,4.9,1.1,2.7,1110,0
13.29,1.82,2.55,16.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.8,1035,0
13.63,1.8,2.65,17.5,107,2.6,2.7,0.3,1.7,5.0,1.15,2.9,1105,0
13.38,1.95,2.7,18.0,106,2.7,2.6,0.28,1.9,5.1,1.2,2.8,1155,0
14.0,1.84,2.68,17.8,104,2.6,2.7,0.3,1.8,4.9,1.15,2.9,1070,0
13.8,1.75,2.6,17.0,108,2.6,2.7,0.3,1.9,5.1,1.1,2.9,1100,0
13.42,1.82,2.55,16.5,110,2.65,2.7,0.3,1.9,5.1,1.1,2.8,1130,0
13.45,1.78,2.6,17.5,108,2.7,2.6,0.28,1.8,4.9,1.1,2.9,1100,0
14.32,1.7,2.65,17.0,100,2.6,2.7,0.3,1.8,5.1,1.15,2.8,1055,0
13.68,1.8,2.7,19.0,106,2.65,2.8,0.3,1.7,5.0,1.1,2.9,1120,0
13.24,1.8,2.55,18.0,100,2.6,2.7,0.28,1.7,5.1,1.1,2.8,1050,0
13.45,1.85,2.6,17.5,104,2.65,2.8,0.3,1.9,5.0,1.2,2.8,1150,0
13.72,1.7,2.65,18.5,110,2.7,2.6,0.3,1.8,5.0,1.2,2.8,1135,0
14.3,1.82,2.7,19.0,104,2.8,2.6,0.28,1.8,5.2,1.1,2.8,1140,0
13.28,1.8,2.55,17.0,100,2.7,2.6,0.28,1.8,4.9,1.15,2.9,1100,0
13.69,1.75,2.55,18.0,102,2.6,2.7,0.3,1.8,4.9,1.15,2.85,1130,0
13.77,1.85,2.55,18.0,100,2.6,2.6,0.3,1.8,4.9,1.1,2.8,1105,0
13.33,1.8,2.6,17.0,100,2.6,2.7,0.3,1.8,4.8,1.05,2.9,1085,0
14.04,1.9,2.55,17.0,104,2.7,2.6,0.28,1.8,5.0,1.2,2.8,1075,0
13.39,1.75,2.55,18.5,100,2.7,2.6,0.3,1.7,5.1,1.1,2.8,1155,0
13.53,1.7,2.65,17.5,110,2.8,2.7,0.3,1.8,4.9,1.1,2.85,1135,0
13.6,1.8,2.6,17.0,106,2.7,2.6,0.3,1.9,5.0,1.1,2.85,1075,0
13.75,1.85,2.6,18.5,106,2.6,2.7,0.3,1.8,4.9,1.1,2.7,1135,0
13.41,1.9,2.6,18.0,106,2.7,2.6,0.3,1.8,5.0,1.15,2.9,1075,0
13.68,1.75,2.55,18.5,110,2.8,2.7,0.3,1.9,5.0,1.2,2.9,1155,0
13.7,1.8,2.6,17.0,100,2.6,2.6,0.3,1.8,5.0,1.1,2.8,1105,0
13.64,1.8,2.6,17.5,108,2.7,2.6,0.28,1.8,4.9,1.1,2.8,1090,0
13.48,1.85,2.65,17.5,104,2.7,2.7,0.3,1.8,5.0,1.15,2.9,1075,0
14.12,1.75,2.65,18.0,108,2.6,2.7,0.3,1.9,5.0,1.2,2.9,1150,0
13.55,1.85,2.55,17.0,106,2.6,2.7,0.3,1.7,5.0,1.1,2.9,1075,0
13.54,1.9,2.65,18.5,106,2.7,2.6,0.29,1.9,5.1,1.1,2.8,1145,0
14.02,1.8,2.7,18.0,108,2.6,2.8,0.28,1.9,5.0,1.1,2.9,1155,0
13.4,1.8,2.6,17.5,106,2.6,2.7,0.3,1.8,5.0,1.15,2.8,1075,0
13.5,1.9,2.6,18.5,100,2.7,2.6,0.3,1.8,4.8,1.1,2.8,1095,0
13.5,1.75,2.65,17.0,108,2.6,2.7,0.28,1.8,5.1,1.1,2.85,1140,0
13.73,1.85,2.6,18.0,102,2.7,2.6,0.3,1.7,4.9,1.1,2.8,1075,0
14.27,1.8,2.55,17.5,106,2.6,2.6,0.3,1.7,5.1,1.1,2.8,1125,0
14.07,1.8,2.55,18.0,104,2.7,2.6,0.28,1.8,4.9,1.1,2.8,1055,0
14.04,1.75,2.55,17.5,106,2.6,2.6,0.3,1.7,5.0,1.1,2.9,1115,0
13.7,1.9,2.55,17.5,100,2.7,2.7,0.28,1.8,5.0,1.2,2.9,1100,0
14.23,1.8,2.6,17.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.9,1115,0
13.75,1.75,2.55,17.5,108,2.7,2.6,0.3,1.9,4.8,1.1,2.8,1135,0
13.87,1.8,2.6,18.0,106,2.7,2.7,0.3,1.9,4.9,1.1,2.8,1155,0
13.62,1.85,2.6,17.5,106,2.7,2.6,0.3,1.8,5.0,1.1,2.8,1145,0
13.29,1.8,2.6,17.5,102,2.7,2.6,0.3,1.8,4.9,1.1,2.8,1050,0
14.1,1.7,2.7,17.0,100,2.6,2.6,0.28,1.7,4.9,1.1,2.9,1135,0
14.1,1.85,2.55,18.0,106,2.7,2.6,0.28,1.8,5.1,1.1,2.9,1115,0
13.49,1.75,2.6,17.5,104,2.7,2.6,0.28,1.8,4.8,1.05,2.8,1135,0
13.67,1.75,2.6,18.0,102,2.6,2.6,0.28,1.8,5.0,1.1,2.8,1150,0
14.03,1.75,2.55,17.0,104,2.6,2.7,0.27,1.9,5.0,1.1,2.85,1075,0
14.22,1.8,2.55,18.0,106,2.7,2.6,0.28,1.9,5.0,1.15,2.9,1150,0
13.68,1.8,2.6,18.0,104,2.6,2.7,0.3,1.8,5.1,1.1,2.8,1150,0
14.17,1.75,2.6,18.0,106,2.6,2.7,0.27,1.8,5.1,1.1,2.8,1145,0
13.51,1.8,2.6,18.5,100,2.7,2.6,0.3,1.8,5.1,1.15,2.9,1145,0
13.6,1.75,2.6,17.5,106,2.7,2.7,0.3,1.7,4.9,1.1,2.8,1155,0
13.42,1.8,2.55,17.0,106,2.65,2.6,0.28,1.9,4.9,1.05,2.85,1135,0
13.81,1.8,2.55,18.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.9,1115,0
14.0,1.75,2.55,18.0,104,2.6,2.6,0.3,1.9,4.8,1.1,2.8,1155,0
13.65,1.8,2.6,18.0,104,2.6,2.6,0.28,1.8,5.0,1.1,2.8,1050,0
13.9,1.7,2.55,16.5,102,2.6,2.7,0.28,1.9,5.1,1.1,2.8,1135,0
13.75,1.8,2.65,16.5,104,2.65,2.6,0.28,1.9,4.8,1.1,2.85,1055,0
13.66,1.7,2.6,18.0,102,2.6,2.7,0.27,1.8,5.0,1.05,2.9,1105,0
14.09,1.7,2.55,17.5,104,2.7,2.6,0.27,1.8,5.1,1.1,2.85,1150,0
13.79,1.8,2.55,16.5,104,2.6,2.7,0.3,1.8,5.1,1.15,2.85,1110,0
13.55,1.75,2.65,17.5,106,2.7,2.6,0.27,1.7,5.1,1.1,2.85,1150,0
13.81,1.85,2.6,16.0,108,2.7,2.6,0.27,1.7,4.9,1.1,2.8,1110,0
13.66,1.75,2.6,16.0,104,2.7,2.7,0.27,1.8,4.9,1.1,2.85,1135,0
14.13,1.8,2.65,17.5,108,2.7,2.6,0.3,1.8,5.0,1.1,2.8,1150,0
13.4,1.75,2.55,16.5,106,2.7,2.7,0.27,1.7,4.9,1.1,2.8,1100,0
13.78,1.8,2.65,16.5,102,2.65,2.6,0.27,1.7,4.8,1.1,2.8,1135,0
13.35,1.85,2.6,17.5,106,2.6,2.7,0.28,1.7,4.9,1.1,2.8,1150,0
14.13,1.7,2.6,18.0,104,2.7,2.7,0.28,1.8,4.9,1.1,2.85,1115,0
13.46,1.8,2.6,18.0,104,2.6,2.7,0.28,1.8,5.0,1.15,2.85,1050,0
13.68,1.9,2.55,17.5,106,2.7,2.6,0.3,1.8,5.0,1.1,2.8,1155,0
13.51,1.85,2.65,17.5,104,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1075,0
13.68,1.85,2.55,18.0,106,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1090,0
13.55,1.75,2.55,18.0,106,2.65,2.6,0.27,1.7,5.0,1.1,2.85,1150,0
13.82,1.8,2.6,18.0,100,2.7,2.6,0.28,1.7,5.0,1.1,2.8,1175,0
14.2,1.85,2.6,16.5,106,2.7,2.7,0.27,1.7,5.1,1.1,2.85,1135,0
13.65,1.8,2.6,17.0,106,2.6,2.7,0.28,1.7,5.0,1.1,2.9,1105,0
14.1,1.8,2.65,16.5,106,2.6,2.6,0.28,1.9,4.9,1.1,2.85,1140,0
14.17,1.9,2.65,17.5,102,2.65,2.7,0.3,1.8,5.0,1.1,2.85,1170,0
13.45,1.75,2.55,17.0,108,2.7,2.6,0.3,1.8,5.0,1.1,2.8,1095,0
13.36,1.75,2.6,16.0,104,2.7,2.7,0.3,1.9,5.0,1.1,2.8,1155,0
13.5,1.85,2.55,18.0,108,2.6,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
14.0,1.75,2.55,17.5,108,2.6,2.6,0.27,1.7,5.0,1.1,2.85,1135,0
13.65,1.7,2.6,16.5,106,2.6,2.7,0.28,1.7,5.0,1.1,2.85,1105,0
13.82,1.8,2.55,18.0,106,2.7,2.7,0.27,1.8,5.0,1.1,2.9,1145,0
14.06,1.9,2.6,17.5,106,2.7,2.6,0.27,1.9,4.9,1.1,2.9,1050,0
13.67,1.8,2.65,16.5,104,2.7,2.6,0.27,1.7,4.9,1.1,2.85,1135,0
13.89,1.75,2.6,17.5,104,2.7,2.6,0.27,1.7,5.1,1.1,2.9,1090,0
13.57,1.8,2.55,18.5,108,2.6,2.7,0.28,1.7,5.1,1.1,2.85,1150,0
13.62,1.8,2.55,17.5,106,2.6,2.6,0.28,1.8,5.1,1.1,2.8,1155,0
13.55,1.8,2.55,17.5,106,2.6,2.6,0.27,1.8,4.9,1.1,2.85,1090,0
13.79,1.8,2.55,16.0,102,2.6,2.6,0.27,1.8,5.1,1.1,2.85,1115,0
13.6,1.8,2.55,18.0,106,2.7,2.6,0.28,1.8,5.0,1.15,2.8,1155,0
13.9,1.85,2.6,17.5,102,2.7,2.7,0.28,1.7,5.0,1.1,2.85,1140,0
13.46,1.75,2.55,17.0,108,2.7,2.6,0.28,1.8,5.1,1.1,2.9,1075,0
13.5,1.75,2.6,16.5,106,2.7,2.6,0.27,1.9,5.0,1.1,2.85,1050,0
13.77,1.75,2.6,16.5,104,2.7,2.6,0.28,1.7,5.0,1.1,2.8,1100,0
13.65,1.85,2.55,16.0,102,2.6,2.7,0.28,1.8,4.9,1.1,2.85,1145,0
14.08,1.8,2.55,16.5,108,2.7,2.6,0.27,1.9,4.8,1.1,2.85,1075,0
13.82,1.9,2.6,17.0,106,2.7,2.7,0.28,1.8,5.0,1.15,2.85,1150,0
13.75,1.9,2.55,17.5,104,2.7,2.6,0.28,1.8,5.0,1.15,2.8,1100,0
13.63,1.85,2.6,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.9,1150,0
14.05,1.85,2.65,17.5,104,2.7,2.7,0.27,1.9,4.9,1.1,2.85,1135,0
13.53,1.75,2.55,17.5,102,2.7,2.6,0.27,1.8,4.9,1.1,2.85,1050,0
13.64,1.85,2.55,18.0,106,2.7,2.6,0.28,1.8,4.9,1.1,2.8,1050,0
13.49,1.75,2.6,16.5,108,2.6,2.7,0.28,1.7,5.0,1.1,2.85,1150,0
13.59,1.8,2.6,17.5,104,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1155,0
14.14,1.85,2.6,18.5,104,2.7,2.6,0.28,1.8,5.0,1.1,2.8,1115,0
13.76,1.9,2.6,18.5,104,2.7,2.7,0.28,1.8,5.1,1.1,2.85,1075,0
13.74,1.9,2.55,16.5,104,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1100,0
13.68,1.75,2.6,18.0,106,2.7,2.6,0.28,1.8,5.0,1.1,2.8,1050,0
13.87,1.8,2.65,17.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.8,1140,0
13.85,1.9,2.65,16.5,108,2.7,2.6,0.28,1.8,5.0,1.1,2.8,1100,0
13.55,1.75,2.6,17.0,104,2.6,2.6,0.27,1.7,5.1,1.1,2.8,1150,0
14.09,1.85,2.55,16.5,104,2.6,2.7,0.27,1.8,5.0,1.1,2.85,1100,0
13.68,1.85,2.55,17.0,104,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
13.55,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.8,1050,0
13.46,1.75,2.6,16.5,106,2.6,2.7,0.27,1.8,5.0,1.1,2.85,1135,0
13.51,1.85,2.55,16.5,102,2.7,2.7,0.28,1.7,4.9,1.1,2.85,1150,0
13.65,1.8,2.55,17.0,106,2.7,2.6,0.27,1.7,5.0,1.1,2.85,1150,0
13.61,1.8,2.55,18.0,106,2.6,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.65,1.75,2.55,17.5,106,2.7,2.6,0.28,1.8,4.9,1.1,2.85,1150,0
13.82,1.85,2.6,17.5,102,2.7,2.7,0.28,1.8,5.1,1.1,2.85,1140,0
13.5,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.81,1.8,2.65,17.0,106,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
13.9,1.75,2.6,17.5,102,2.7,2.6,0.27,1.8,5.1,1.1,2.85,1150,0
14.01,1.8,2.55,16.5,104,2.6,2.7,0.27,1.9,5.1,1.1,2.85,1135,0
13.6,1.75,2.55,17.5,106,2.6,2.7,0.28,1.9,5.1,1.1,2.85,1050,0
13.8,1.85,2.55,17.0,102,2.7,2.7,0.27,1.7,4.9,1.1,2.8,1175,0
13.82,1.9,2.65,17.5,104,2.7,2.6,0.28,1.9,5.1,1.1,2.85,1050,0
13.74,1.8,2.65,17.0,106,2.7,2.6,0.27,1.8,4.9,1.1,2.85,1150,0
13.75,1.75,2.6,17.0,106,2.7,2.6,0.27,1.8,5.1,1.1,2.85,1100,0
14.09,1.8,2.6,16.0,102,2.6,2.7,0.28,1.9,5.0,1.1,2.85,1150,0
13.69,1.75,2.55,16.5,104,2.7,2.6,0.28,1.8,5.0,1.1,2.8,1050,0
13.56,1.85,2.6,18.0,108,2.7,2.6,0.27,1.7,5.0,1.1,2.85,1155,0
13.83,1.75,2.55,18.5,102,2.7,2.7,0.28,1.8,5.0,1.1,2.85,1150,0
14.15,1.8,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1050,0
13.51,1.8,2.65,16.5,108,2.7,2.6,0.27,1.8,5.1,1.1,2.85,1100,0
13.56,1.8,2.55,18.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1155,0
13.54,1.75,2.55,18.5,104,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1100,0
13.68,1.8,2.55,16.5,102,2.6,2.6,0.28,1.8,5.1,1.1,2.85,1135,0
13.51,1.9,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.66,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.55,1.8,2.65,18.0,106,2.6,2.7,0.27,1.8,5.0,1.1,2.85,1150,0
13.63,1.75,2.6,17.5,108,2.7,2.6,0.27,1.7,4.9,1.1,2.8,1150,0
13.78,1.85,2.6,16.5,106,2.7,2.7,0.27,1.8,5.0,1.1,2.85,1150,0
13.55,1.85,2.55,18.0,102,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.66,1.9,2.6,18.0,108,2.7,2.6,0.27,1.8,5.1,1.1,2.85,1150,0
14.1,1.75,2.55,16.0,104,2.6,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.67,1.8,2.55,16.5,104,2.7,2.6,0.28,1.7,5.1,1.1,2.85,1135,0
13.7,1.85,2.55,16.5,102,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.65,1.75,2.6,16.0,104,2.6,2.7,0.27,1.7,4.9,1.1,2.85,1150,0
13.79,1.9,2.55,16.5,108,2.7,2.6,0.28,1.8,5.1,1.1,2.85,1100,0
13.62,1.8,2.55,16.0,106,2.7,2.6,0.27,1.7,5.0,1.1,2.85,1150,0
13.78,1.9,2.55,16.5,102,2.7,2.6,0.27,1.9,4.9,1.1,2.85,1150,0
13.7,1.75,2.55,18.0,104,2.6,2.6,0.27,1.7,5.0,1.1,2.85,1150,0
13.85,1.8,2.6,17.0,104,2.6,2.7,0.27,1.7,5.0,1.1,2.85,1150,0
13.81,1.9,2.6,17.5,104,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
13.76,1.9,2.55,16.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1050,0
13.72,1.85,2.6,17.5,104,2.7,2.6,0.27,1.7,5.0,1.1,2.85,1150,0
13.51,1.9,2.6,16.5,108,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.84,1.75,2.55,16.0,104,2.6,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.75,1.9,2.6,17.0,104,2.7,2.6,0.28,1.8,5.1,1.1,2.85,1150,0
13.73,1.8,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.58,1.8,2.55,18.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.9,1.8,2.55,17.5,108,2.7,2.7,0.28,1.9,5.1,1.1,2.85,1150,0
13.77,1.9,2.65,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.55,16.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.77,1.75,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.55,17.5,102,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.81,1.8,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.69,1.8,2.6,17.5,102,2.6,2.7,0.27,1.8,5.0,1.1,2.85,1150,0
13.66,1.8,2.6,18.0,104,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.59,1.8,2.55,16.5,106,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.88,1.8,2.55,16.5,102,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
13.65,1.85,2.55,17.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.9,2.55,17.5,106,2.7,2.6,0.27,1.9,5.0,1.1,2.85,1150,0
13.77,1.9,2.6,17.0,104,2.7,2.6,0.28,1.7,5.0,1.1,2.85,1150,0
13.69,1.85,2.6,18.0,104,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.9,2.6,18.0,102,2.7,2.6,0.27,1.9,5.0,1.1,2.85,1150,0
13.57,1.85,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.64,1.75,2.6,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.8,1.9,2.6,18.0,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.9,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.9,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.6,1.85,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.9,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.85,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.57,1.9,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.65,1.8,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.65,1.85,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.75,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.55,17.0,104,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.66,1.8,2.6,16.5,106,2.6,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.66,1.85,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.75,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.9,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,16.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.72,1.8,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
